,id,conversation_id,created_at,date,tweet,language,hashtags
0,1547968198808858624,1547968198808858624,1657899353000.0,2022-07-15 15:35:53,"We may have many problems in #India but we also have solutions for them &amp; #USA needs to understand that they can't dictate their ideas upon us. If you believe in partnership for greater good you need to act like a partner, not like a boss.",en,"['india', 'usa']"
1,1547968083750400004,1547968083750400004,1657899325000.0,2022-07-15 15:35:25,"Let’s acknowledge and identify exhaustion, help each other to manage it. Are you joining for today’s chat #MTtalk 10:30 PM #India  https://t.co/rM8MoAY7SG",en,"['mttalk', 'india']"
2,1547968055187124226,1547968055187124226,1657899318000.0,2022-07-15 15:35:18,Opaque Watercolor Supervision watercolor paints.  #supervision watercolor #russiawatercolors#japaneaswatercolors  #israelwatercolor #水彩画 #watercolour_planet #watercolorstudy #artpainting #india watercolor #जल रंग काम करता है #Watercolor works #Watercolor illustration  https://t.co/kMVv0nT1Pz,und,"['supervision', 'israelwatercolor', '水彩画', 'watercolour_planet', 'watercolorstudy', 'artpainting', 'india', 'जल', 'watercolor', 'watercolor']"
3,1547968036002340868,1547968036002340868,1657899314000.0,2022-07-15 15:35:14,⚡بھارتی فوجی نے اپنے ہی دو ساتھیوں کو مار کر خود کو جہنم واصل کر دیا🥱 #India,ur,['india']
4,1547967977214992387,1547967977214992387,1657899300000.0,2022-07-15 15:35:00,"Photos: Dhoni, Tendulkar, Ganguly and more seen cheering for India at Lord's  #mahendrasinghdhoni #SachinTendulkar #SauravGanguly #cheering #India #Lord #IndianCricketer #cricketer    https://t.co/hPdNP09syC  https://t.co/id6Ch6bzKq",in,"['mahendrasinghdhoni', 'sachintendulkar', 'sauravganguly', 'cheering', 'india', 'lord', 'indiancricketer', 'cricketer']"
5,1547967970961342464,1547967970961342464,1657899298000.0,2022-07-15 15:34:58,"#BA.2.75, aka #Centaurus, appeared to have mutated in a way that could indicate “major #immune escape”. The #virus is spreading rapidly in #India and #Europe at the moment. It has also been detected in #Japan and the #US. #who #world #coronavirus #variants #lockdowns #mkt",en,"['ba', 'centaurus', 'immune', 'virus', 'india', 'europe', 'japan', 'us', 'who', 'world', 'coronavirus', 'variants', 'lockdowns', 'mkt']"
6,1547967956675547137,1547967956675547137,1657899295000.0,2022-07-15 15:34:55,आईआरसीटीसी दक्षिण भारत के खूबसूरत मंदिरों के दर्शन के लिए एक शानदार टूर पैकेज लेकर आया है. चलिए आपको इस टूर पैकेज की डिटेल्स बताते हैं....  #IRCTC #Travel #Tourism #traveling #India #SouthIndia    https://t.co/WFPTtVMfQP,hi,"['irctc', 'travel', 'tourism', 'traveling', 'india', 'southindia']"
7,1547967675766149121,1547967675766149121,1657899228000.0,2022-07-15 15:33:48,An underappreciated facet of the mess in #SriLanka is this&gt;&gt;   A part of the RULING ELITE of #SriLanka wanted to use #China to sideline #India and offered various advantages to #China that would hurt the regional balance of power.   #SriLanka elite are not so elite right now.😉,en,"['srilanka', 'srilanka', 'china', 'india', 'china', 'srilanka']"
8,1547967673329262592,1547967673329262592,1657899227000.0,2022-07-15 15:33:47,"#HamidAnsari | क्या एक बयान और तस्वीर से हामिद अंसारी पर सवाल उठाना सही है? देखिए, वाराणसी के राजन गुप्ता के सवाल पर क्या बोले #BJP प्रवक्ता @gauravbh        @navikakumar #SawalPublicKa #India #Pakistan #ISI #NusratMirza  https://t.co/FpJj5KFBFs",hi,"['hamidansari', 'bjp', 'sawalpublicka', 'india', 'pakistan', 'isi', 'nusratmirza']"
9,1547967620116123651,1547967620116123651,1657899215000.0,2022-07-15 15:33:35,SRMIST has been ranked 19th in 2022 National Institutional Ranking Framework (NIRF) beating last year's record and getting higher and higher each year.  #SRMIST #SRM #NIRF #Education #India #Ranking  https://t.co/XIUwdVanfX,en,"['srmist', 'srm', 'nirf', 'education', 'india', 'ranking']"
